ts,gross,net,turnover,costs
2023-03-30,0.0,0.0,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0
2023-04-03,0.0,0.0,0.0,0.0
2023-04-04,0.0,0.0,0.0,0.0
2023-04-05,0.0,0.0,0.0,0.0
2023-04-06,0.0,0.0,0.0,0.0
2023-04-07,0.0,0.0,0.0,0.0
2023-04-10,0.0,0.0,0.0,0.0
2023-04-11,0.0,0.0,0.0,0.0
2023-04-12,0.0,0.0,0.0,0.0
2023-04-13,0.0,0.0,0.0,0.0
2023-04-14,0.0,0.0,0.0,0.0
2023-04-17,0.0,0.0,0.0,0.0
2023-04-18,0.0,0.0,0.0,0.0
2023-04-19,0.0,0.0,0.0,0.0
2023-04-20,0.0,0.0,0.0,0.0
2023-04-21,0.0,0.0,0.0,0.0
2023-04-24,0.0,0.0,0.0,0.0
2023-04-25,0.0,0.0,0.0,0.0
2023-04-26,-0.0010304383742971712,-0.0012304383742971713,1.0,0.0002
2023-04-27,0.003038992620495451,0.003038992620495451,0.0,0.0
2023-04-28,-0.0018229804584709575,-0.0018229804584709575,0.0,0.0
2023-05-01,0.003213600969685926,0.003213600969685926,0.0,0.0
2023-05-02,0.005843612971952794,0.005843612971952794,0.0,0.0
2023-05-03,-0.006670951509223477,-0.006670951509223477,0.0,0.0
2023-05-04,-0.002033962771420983,-0.002033962771420983,0.0,0.0
2023-05-05,0.006400598341339103,0.006400598341339103,0.0,0.0
2023-05-08,0.0016940233924338521,0.0016940233924338521,0.0,0.0
2023-05-09,-0.003194156707213569,-0.003194156707213569,0.0,0.0
2023-05-10,-0.0004880863559022508,-0.0004880863559022508,0.0,0.0
2023-05-11,-0.0018934296330537226,-0.0018934296330537226,0.0,0.0
2023-05-12,-0.0003907084381702397,-0.0003907084381702397,0.0,0.0
2023-05-15,0.00022641909785936498,0.00022641909785936498,0.0,0.0
2023-05-16,0.00364834908454692,0.00364834908454692,0.0,0.0
2023-05-17,-0.0017088063593106995,-0.0017088063593106995,0.0,0.0
2023-05-18,0.0026230650830108004,0.0026230650830108004,0.0,0.0
2023-05-19,-5.4714511371622976e-05,-5.4714511371622976e-05,0.0,0.0
2023-05-22,-0.001548792147523792,-0.001548792147523792,0.0,0.0
2023-05-23,-0.002282563053326081,-0.002282563053326081,0.0,0.0
2023-05-24,0.006311672138742619,0.006311672138742619,0.0,0.0
2023-05-25,-0.004056311317360395,-0.004056311317360395,0.0,0.0
2023-05-26,0.0020001035548016244,0.0020001035548016244,0.0,0.0
2023-05-29,1.9746012344112884e-05,1.9746012344112884e-05,0.0,0.0
2023-05-30,-0.004682580025250127,-0.004682580025250127,0.0,0.0
2023-05-31,-0.0035894227318434835,-0.0035894227318434835,0.0,0.0
2023-06-01,0.0028586981036877734,0.0028586981036877734,0.0,0.0
2023-06-02,-0.0013144798530367874,-0.0013144798530367874,0.0,0.0
2023-06-05,0.0007834550757772618,0.0007834550757772618,0.0,0.0
2023-06-06,0.0003012209677475397,0.0003012209677475397,0.0,0.0
2023-06-07,-0.00585962227152792,-0.00585962227152792,0.0,0.0
2023-06-08,0.0012126124057225685,0.0012126124057225685,0.0,0.0
2023-06-09,0.003021629074944965,0.003021629074944965,0.0,0.0
2023-06-12,-0.009802087491130429,-0.009802087491130429,0.0,0.0
2023-06-13,0.0038398974885365256,0.0038398974885365256,0.0,0.0
2023-06-14,-0.003283331274447243,-0.003283331274447243,0.0,0.0
2023-06-15,-0.003431882497827221,-0.003431882497827221,0.0,0.0
2023-06-16,0.0,0.0,0.0,0.0
