alert_type,source_ip_risk,user_risk_score,failed_login_count_24h,geo_impossible_travel,asset_criticality,historical_false_positive_rate,priority
brute_force,0.2197,0.0453,1,0,medium,0.4582,medium
other,0.1179,0.368,3,0,medium,0.9239,low
suspicious_login,0.4449,0.4956,0,0,medium,0.6423,medium
suspicious_login,0.2738,0.3371,10,0,medium,0.3842,medium
malware,0.239,0.2293,0,0,high,0.4889,medium
brute_force,0.4569,0.2527,1,0,high,0.4958,high
data_exfil,0.2273,0.0422,9,1,low,0.6819,low
other,0.6176,0.8066,1,0,medium,0.3761,medium
suspicious_login,0.3238,0.559,2,0,low,0.3614,medium
malware,0.2781,0.1617,0,1,high,0.7112,high
malware,0.0,0.2392,4,0,low,0.7347,low
data_exfil,0.6298,0.4818,1,0,high,0.718,high
malware,0.2888,0.1764,11,0,medium,0.8705,medium
malware,0.0437,0.2256,9,0,medium,0.8225,low
data_exfil,0.5333,0.0,9,0,medium,0.8509,medium
other,0.8282,0.6432,1,1,low,0.7855,medium
other,0.6174,0.5275,2,0,high,0.6254,medium
suspicious_login,0.0015,0.0526,3,1,medium,0.396,medium
malware,0.1917,0.1305,1,0,medium,0.6525,medium
other,0.3455,0.2903,2,0,medium,0.296,high
suspicious_login,0.1404,0.1821,4,0,low,0.6882,low
other,0.4382,0.3385,1,0,low,0.334,medium
malware,0.1614,0.3445,1,0,medium,0.8191,low
brute_force,0.0714,0.1605,14,0,low,0.3443,low
other,0.302,0.2729,1,1,high,0.6421,high
brute_force,0.0,0.1496,4,0,low,0.4014,low
suspicious_login,0.6316,0.5805,9,1,low,0.2807,medium
data_exfil,0.045,0.1789,9,0,low,0.7409,low
malware,0.3229,0.54,1,0,medium,0.6295,medium
other,0.3144,0.3259,1,0,medium,0.2413,medium
suspicious_login,0.0807,0.1104,2,0,low,0.8744,low
data_exfil,0.5463,0.3286,1,0,high,0.3181,medium
other,0.4153,0.4415,1,0,low,0.6487,low
malware,0.5968,0.2975,11,0,low,0.7311,low
malware,0.5399,0.5583,15,0,low,0.1685,low
data_exfil,0.4653,0.1976,11,0,medium,0.6232,medium
malware,0.1013,0.4836,2,1,low,0.3082,medium
malware,0.4346,0.5561,10,0,high,0.3772,high
other,0.371,0.4868,20,0,high,0.097,high
malware,0.1323,0.031,5,1,high,0.7552,high
brute_force,0.3397,0.4844,2,0,low,0.7306,medium
brute_force,0.2084,0.067,1,0,low,0.7111,low
suspicious_login,0.1477,0.0,17,0,medium,0.5274,medium
suspicious_login,0.4795,0.4054,9,0,low,0.3787,medium
brute_force,0.3404,0.2815,3,0,low,0.5026,medium
other,0.1052,0.0455,1,1,low,0.3819,low
malware,0.0687,0.11,2,1,medium,0.6046,medium
brute_force,0.0,0.1217,0,0,high,0.7545,medium
brute_force,0.048,0.1565,2,0,low,0.6156,low
data_exfil,0.2869,0.6462,1,0,low,0.479,low
suspicious_login,0.375,0.3098,2,0,medium,0.5344,low
malware,0.5301,0.5135,1,0,medium,0.1759,medium
suspicious_login,0.7274,0.4901,2,0,low,0.6077,low
brute_force,0.0,0.0,7,0,high,0.8375,high
brute_force,0.3715,0.1511,3,0,medium,0.4421,low
malware,0.1838,0.2778,1,0,medium,0.4818,medium
brute_force,0.7686,0.5739,3,0,medium,0.7193,medium
malware,0.1019,0.1026,2,1,high,0.2942,high
suspicious_login,0.2114,0.4479,0,0,high,0.6073,medium
data_exfil,0.0709,0.0,8,1,high,0.4262,high
suspicious_login,0.3655,0.5173,9,0,medium,0.9028,medium
data_exfil,0.1913,0.203,3,0,low,0.8792,low
suspicious_login,0.2959,0.1585,3,0,low,0.3555,low
malware,0.2745,0.0383,0,0,medium,0.8191,low
malware,0.0627,0.3736,0,0,low,0.547,low
suspicious_login,0.3575,0.4271,2,0,low,0.4849,medium
suspicious_login,0.3181,0.2361,1,0,low,0.4032,low
malware,0.6461,0.5034,3,0,medium,0.3418,high
data_exfil,0.2034,0.0978,12,0,low,0.1948,low
brute_force,0.2735,0.3208,9,0,medium,0.3177,medium
brute_force,0.2724,0.2271,5,1,low,0.6545,low
other,0.1393,0.1579,13,0,medium,0.9328,medium
other,0.4792,0.6587,2,0,high,0.7501,high
other,0.0,0.0,2,0,low,0.8207,low
data_exfil,0.5201,0.5294,3,0,medium,0.7158,high
data_exfil,0.2552,0.5228,14,0,high,0.4885,medium
malware,0.1656,0.2497,4,0,low,0.5642,medium
suspicious_login,0.0452,0.6165,1,0,medium,0.4636,medium
suspicious_login,0.0318,0.2016,1,1,high,0.6058,high
brute_force,0.4127,0.3195,8,0,low,0.3333,low
data_exfil,0.3426,0.1231,1,0,low,0.8477,low
malware,0.037,0.2882,3,0,low,0.6713,low
data_exfil,0.1587,0.2349,11,0,medium,0.1698,medium
data_exfil,0.0165,0.3768,1,0,medium,0.5475,medium
suspicious_login,0.4368,0.1633,16,0,low,0.4121,medium
data_exfil,0.1514,0.346,2,0,low,0.4616,low
other,0.0748,0.2082,2,0,low,0.8217,low
suspicious_login,0.2622,0.1765,12,0,medium,0.1112,medium
brute_force,0.694,0.3121,10,0,low,0.4814,low
suspicious_login,0.0,0.1261,1,0,low,0.8834,low
malware,0.0,0.0,8,0,medium,0.4791,low
suspicious_login,0.447,0.3602,0,0,medium,0.8568,low
other,0.2766,0.156,0,0,low,0.7682,low
brute_force,0.0909,0.5751,11,0,high,0.6092,high
suspicious_login,0.4506,0.2189,8,1,low,0.8418,medium
other,0.3458,0.5469,7,0,low,0.7509,low
other,0.4226,0.1168,0,1,high,0.352,high
malware,0.0,0.2666,13,0,medium,0.4259,low
brute_force,0.0545,0.0,11,0,low,0.828,low
malware,0.245,0.1341,2,0,medium,0.6133,low
malware,0.4881,0.3758,1,0,low,0.526,low
malware,0.018,0.4132,4,1,low,0.5372,low
data_exfil,0.4846,0.6417,2,1,medium,0.2589,high
suspicious_login,0.2182,0.1032,1,0,high,0.5489,medium
suspicious_login,0.307,0.2973,0,0,high,0.821,medium
suspicious_login,0.1072,0.3137,18,0,medium,0.8117,medium
data_exfil,0.1665,0.2739,9,0,low,0.4015,medium
suspicious_login,0.689,0.7184,2,1,low,0.5403,medium
data_exfil,0.1094,0.2889,0,0,low,0.1929,low
brute_force,0.0,0.0,9,0,low,0.4267,low
suspicious_login,0.3917,0.5136,10,0,high,0.3378,high
malware,0.31,0.3084,9,0,low,0.5257,medium
suspicious_login,0.143,0.5632,0,1,high,0.6328,high
data_exfil,0.2874,0.2659,3,0,low,0.8824,low
malware,0.5082,0.3482,11,0,medium,0.608,medium
suspicious_login,0.1748,0.1908,0,0,medium,0.4722,low
malware,0.4442,0.4166,16,0,low,0.3654,low
data_exfil,0.5446,0.3298,5,0,medium,0.654,high
malware,0.3704,0.3604,4,0,low,0.3764,low
other,0.1323,0.3682,0,0,low,0.2359,low
other,0.6233,0.5481,12,0,medium,0.4284,high
other,0.2611,0.4049,8,1,medium,0.9239,medium
other,0.0993,0.2554,3,0,medium,0.7301,medium
other,0.0944,0.0545,9,1,medium,0.4492,medium
suspicious_login,0.4795,0.4815,12,1,low,0.2166,medium
brute_force,0.0,0.1747,3,0,high,0.5635,medium
malware,0.2448,0.0,0,0,medium,0.5904,low
suspicious_login,0.2229,0.1807,4,0,medium,0.5788,medium
suspicious_login,0.1011,0.1716,5,0,medium,0.5416,medium
data_exfil,0.6166,0.689,5,0,high,0.4326,high
malware,0.2665,0.3337,1,1,low,0.6657,medium
other,0.0,0.0,3,0,medium,0.5275,medium
brute_force,0.5036,0.3551,6,1,low,0.4011,medium
malware,0.3467,0.3296,7,0,medium,0.4618,medium
malware,0.3187,0.3593,1,0,high,0.2289,medium
brute_force,0.0,0.0,5,0,high,0.6557,medium
malware,0.2934,0.0674,0,0,low,0.7583,low
data_exfil,0.0884,0.0,3,0,low,0.3964,low
brute_force,0.0,0.2345,13,0,high,0.335,high
data_exfil,0.0,0.2278,7,0,low,0.5104,low
malware,0.0,0.2542,12,1,medium,0.714,medium
brute_force,0.3301,0.5302,2,0,low,0.4716,medium
suspicious_login,0.0,0.5366,11,0,medium,0.9073,medium
suspicious_login,0.4876,0.5493,3,0,low,0.2482,low
suspicious_login,0.7604,0.2551,3,0,medium,0.3337,high
data_exfil,0.2455,0.213,3,0,medium,0.4914,low
suspicious_login,0.4269,0.1815,2,0,low,0.465,low
suspicious_login,0.1827,0.0377,0,0,medium,0.3805,medium
malware,0.4275,0.4941,3,0,high,0.5451,high
malware,0.5529,0.6752,1,0,medium,0.7311,medium
other,0.7735,0.5706,14,0,low,0.781,medium
other,0.1537,0.0611,3,0,low,0.4961,low
other,0.1242,0.5798,15,0,medium,0.4385,medium
data_exfil,0.4233,0.215,0,0,medium,0.4675,low
malware,0.7777,0.3693,4,0,low,0.7346,medium
data_exfil,0.0557,0.1477,10,0,low,0.4103,low
suspicious_login,0.3272,0.3515,9,0,high,0.8237,medium
data_exfil,0.0552,0.0042,0,0,medium,0.1541,medium
data_exfil,0.2481,0.2783,9,0,low,0.4424,low
data_exfil,0.4353,0.3984,6,0,low,0.8244,medium
data_exfil,0.7413,0.4424,3,0,low,0.6633,medium
brute_force,0.4187,0.0798,11,0,low,0.7227,medium
other,0.2451,0.2715,9,0,low,0.6826,low
suspicious_login,0.2816,0.32,3,0,high,0.6209,high
other,0.0644,0.0,4,0,low,0.4072,low
data_exfil,0.5711,0.4958,12,1,low,0.9124,medium
data_exfil,0.4499,0.4175,7,0,medium,0.4756,medium
malware,0.1195,0.3287,0,0,medium,0.892,low
suspicious_login,0.1229,0.1326,7,0,medium,0.7384,low
suspicious_login,0.0247,0.103,0,0,high,0.6612,medium
suspicious_login,0.1944,0.5377,3,0,low,0.4758,medium
other,0.4432,0.773,9,0,medium,0.8049,medium
other,0.6641,0.3821,10,0,medium,0.7307,medium
suspicious_login,0.4857,0.6265,10,1,high,0.6688,high
data_exfil,0.2674,0.009,2,0,low,0.6131,low
suspicious_login,0.1233,0.411,2,1,high,0.754,high
malware,0.3139,0.2547,3,0,high,0.2538,high
other,0.0833,0.2707,3,0,high,0.5756,medium
malware,0.1816,0.2086,0,0,medium,0.5345,low
other,0.0804,0.3113,2,1,high,0.2229,high
malware,0.0,0.192,1,0,medium,0.7689,medium
brute_force,0.3249,0.1097,14,0,low,0.9175,low
data_exfil,0.1303,0.0,1,0,medium,0.837,low
brute_force,0.1918,0.256,1,0,low,0.4029,low
malware,0.4191,0.5669,2,0,low,0.6548,low
other,0.2075,0.196,0,0,high,0.6173,medium
brute_force,0.233,0.3609,1,0,low,0.7079,low
malware,0.0,0.4494,2,0,low,0.4317,low
suspicious_login,0.3115,0.4447,3,1,medium,0.4735,high
brute_force,0.2118,0.0485,1,0,low,0.8623,low
other,0.0538,0.4356,1,0,medium,0.5819,medium
data_exfil,0.346,0.4355,2,0,medium,0.7669,high
data_exfil,0.2621,0.3958,2,1,low,0.281,medium
other,0.4525,0.5277,2,0,high,0.7632,high
malware,0.4297,0.544,11,0,low,0.6071,medium
other,0.4856,0.2099,2,0,medium,0.6319,medium
suspicious_login,0.3657,0.3163,1,0,low,0.7858,low
data_exfil,0.211,0.0767,16,0,high,0.3827,high
other,0.4314,0.272,2,0,low,0.6392,low
malware,0.383,0.44,3,0,medium,0.6806,high
brute_force,0.4334,0.368,8,0,medium,0.6679,medium
suspicious_login,0.3384,0.0614,1,0,medium,0.7007,medium
brute_force,0.2137,0.4991,0,1,low,0.9956,low
suspicious_login,0.2878,0.3967,0,0,medium,0.3311,medium
malware,0.249,0.1195,12,0,medium,0.7487,medium
other,0.2549,0.0135,1,1,high,0.7297,high
data_exfil,0.2067,0.1949,1,0,medium,0.6877,low
suspicious_login,0.1326,0.189,15,0,low,0.2789,low
data_exfil,0.4724,0.2616,1,0,low,0.7353,low
brute_force,0.532,0.3162,4,0,medium,0.5959,medium
suspicious_login,0.338,0.4542,5,0,low,0.4733,low
malware,0.6804,0.7102,3,0,medium,0.4573,high
malware,0.0809,0.0414,2,0,medium,0.7733,low
data_exfil,0.5794,0.3364,0,0,low,0.2546,medium
suspicious_login,0.4181,0.272,7,0,low,0.2701,medium
other,0.1637,0.2503,6,0,medium,0.8757,low
data_exfil,0.3851,0.3603,2,1,medium,0.6864,high
suspicious_login,0.0026,0.2012,4,0,medium,0.4501,medium
other,0.2155,0.0886,4,0,medium,0.6336,low
brute_force,0.564,0.7134,2,1,high,0.2676,high
suspicious_login,0.3037,0.3872,0,0,medium,0.4088,medium
malware,0.0118,0.2533,4,0,medium,0.5754,medium
malware,0.3274,0.3059,9,0,low,0.5449,low
malware,0.159,0.0337,14,1,medium,0.5003,high
other,0.5067,0.4842,0,1,medium,0.504,medium
malware,0.0611,0.3475,2,0,medium,0.9264,medium
malware,0.3082,0.1484,1,1,medium,0.7127,medium
data_exfil,0.2025,0.3635,2,0,low,0.5305,low
data_exfil,0.3124,0.0,1,1,high,0.7826,high
other,0.0965,0.6036,8,0,medium,0.5869,medium
suspicious_login,0.15,0.1255,1,0,medium,0.2554,medium
other,0.1995,0.2636,9,0,medium,0.6987,medium
data_exfil,0.2701,0.3645,4,0,high,0.4618,medium
brute_force,0.3309,0.5834,2,0,medium,0.8214,low
data_exfil,0.0473,0.0,8,0,low,0.3951,low
brute_force,0.4206,0.6055,6,0,medium,0.4586,high
malware,0.423,0.4468,9,0,medium,0.7706,medium
malware,0.0032,0.2255,2,0,low,0.6845,low
brute_force,0.2913,0.0057,12,0,high,0.6321,medium
data_exfil,0.3298,0.6415,2,1,medium,0.3662,high
suspicious_login,0.7503,0.4748,2,0,medium,0.8463,medium
suspicious_login,0.5076,0.1223,15,1,medium,0.771,high
suspicious_login,0.3292,0.1174,10,1,high,0.2736,high
data_exfil,0.1269,0.0,1,0,low,0.4396,low
brute_force,0.6244,0.4735,3,0,low,0.6447,medium
other,0.5575,0.6102,0,0,medium,0.2959,medium
other,0.134,0.2615,3,0,high,0.7238,high
brute_force,0.4042,0.6729,1,1,low,0.8936,medium
brute_force,0.0969,0.0,0,0,high,0.7894,medium
brute_force,0.3429,0.0962,2,0,high,0.9151,high
malware,0.3949,0.3311,5,1,low,0.5895,medium
data_exfil,0.0,0.0851,1,0,medium,0.5953,low
brute_force,1.0,0.6352,1,0,medium,0.4822,medium
data_exfil,0.097,0.31,0,1,low,0.8743,low
other,0.1341,0.0124,3,0,medium,0.715,medium
malware,0.2002,0.2297,1,0,high,0.6161,high
malware,0.572,0.1081,0,0,medium,0.4686,low
malware,0.3739,0.4398,13,0,medium,0.6169,medium
other,0.5426,0.546,15,0,low,0.8416,low
data_exfil,0.3563,0.129,1,0,high,0.6609,high
brute_force,0.1796,0.2047,3,0,low,0.596,low
suspicious_login,0.1987,0.5406,0,0,medium,0.7954,low
suspicious_login,0.5377,0.8611,7,1,high,0.7878,high
malware,0.3986,0.3781,0,1,medium,0.771,medium
brute_force,0.4812,0.5844,4,0,low,0.9067,medium
other,0.0,0.3362,1,0,medium,0.5205,low
brute_force,0.2474,0.0876,11,0,medium,0.5427,medium
malware,0.3153,0.0987,14,1,medium,0.3477,medium
data_exfil,0.2623,0.1738,3,0,low,0.4547,medium
brute_force,0.3526,0.5173,1,0,high,0.1458,high
data_exfil,0.4605,0.2857,1,0,medium,0.7668,medium
suspicious_login,0.1281,0.2547,11,0,medium,0.2662,low
suspicious_login,0.5771,0.3095,2,0,low,0.8591,medium
brute_force,0.405,0.4408,5,0,low,0.6025,low
other,0.4603,0.5752,6,0,low,0.4702,low
other,0.4409,0.0518,3,0,high,0.3018,medium
suspicious_login,0.0999,0.1588,9,0,high,0.8113,medium
brute_force,0.2757,0.0893,1,0,medium,0.7339,medium
malware,0.0,0.4069,3,0,low,0.4763,low
brute_force,0.4105,0.0862,8,0,medium,0.1976,medium
data_exfil,0.2511,0.0075,3,0,medium,0.2921,medium
suspicious_login,0.2666,0.211,1,0,high,0.3387,medium
suspicious_login,0.3417,0.1773,0,0,low,0.9839,low
malware,0.147,0.1953,2,0,medium,0.8559,low
data_exfil,0.375,0.3226,2,0,low,0.8813,medium
data_exfil,0.0,0.1399,0,1,low,0.4067,low
other,0.127,0.4276,18,0,low,0.4652,medium
data_exfil,0.2491,0.4783,2,0,medium,0.7806,medium
data_exfil,0.0838,0.4227,2,0,high,0.514,high
malware,0.1939,0.2989,1,0,medium,0.31,low
other,0.1396,0.3,3,0,low,0.657,low
malware,0.2338,0.2812,0,0,low,0.5978,low
other,0.3264,0.5216,8,0,low,0.457,low
malware,0.2582,0.0,0,1,low,0.6526,low
suspicious_login,0.153,0.1779,4,0,high,0.8386,medium
data_exfil,0.3966,0.3699,5,0,low,0.5503,medium
other,0.4305,0.2624,13,0,medium,0.6326,medium
data_exfil,0.1441,0.0908,8,1,medium,0.4776,high
data_exfil,0.0,0.099,5,0,medium,0.6027,low
malware,0.004,0.2872,3,0,high,0.9053,medium
other,0.4915,0.2279,4,1,high,0.7139,high
brute_force,0.3615,0.0925,2,0,low,0.9087,low
malware,0.4662,0.1399,4,0,medium,0.4329,medium
other,0.3218,0.2737,3,0,low,0.3853,low
malware,0.0,0.0,2,0,medium,0.4676,low
other,0.3313,0.158,0,0,medium,0.7869,low
suspicious_login,0.3619,0.521,2,0,low,0.777,low
suspicious_login,0.3256,0.2541,2,1,medium,0.5493,medium
brute_force,0.0,0.0538,9,0,medium,0.9265,medium
other,0.1811,0.2259,4,0,low,0.5959,low
other,0.2053,0.0202,1,0,low,0.4382,low
brute_force,0.4544,0.1649,0,0,low,0.6835,low
malware,0.4215,0.2734,8,0,low,0.7803,low
data_exfil,0.6914,0.7748,1,1,high,0.2202,high
malware,1.0,0.9465,8,1,medium,0.9537,high
other,0.2339,0.2814,3,0,medium,0.5884,medium
data_exfil,0.4457,0.4254,5,1,medium,0.651,high
other,0.1976,0.1198,11,0,low,0.3984,low
data_exfil,0.0,0.1636,11,0,medium,0.3446,medium
other,0.765,0.5726,13,0,high,0.8742,high
suspicious_login,0.115,0.0,1,0,low,0.4911,low
brute_force,0.413,0.1685,1,0,medium,0.776,medium
suspicious_login,0.747,0.7822,1,0,low,0.4518,medium
suspicious_login,0.0836,0.6789,3,0,high,0.5713,high
other,0.4236,0.2865,0,0,low,0.5326,low
brute_force,0.1357,0.3895,0,0,medium,0.6072,low
other,0.3082,0.408,2,0,high,0.6645,medium
data_exfil,0.1074,0.1421,8,1,low,0.4339,medium
suspicious_login,0.0919,0.4726,4,0,medium,0.888,medium
brute_force,0.5637,0.4503,0,0,high,0.732,high
suspicious_login,0.1701,0.0859,2,0,low,0.5936,low
other,0.4884,0.4312,1,0,medium,0.3032,medium
malware,0.6909,0.3671,6,0,medium,0.3176,medium
other,0.0016,0.0,6,0,medium,0.299,medium
data_exfil,0.4905,0.2182,3,0,low,0.6172,low
brute_force,0.492,0.47,1,0,medium,0.4064,medium
brute_force,0.0276,0.1366,2,0,low,0.6637,low
suspicious_login,0.7237,0.4846,2,0,low,0.6033,medium
data_exfil,0.5404,0.7938,7,0,low,0.7916,medium
brute_force,0.1313,0.1908,0,1,medium,0.4343,low
data_exfil,0.4393,0.3682,2,1,low,0.6897,low
malware,0.0324,0.1845,4,0,medium,0.7651,medium
malware,0.2501,0.1959,11,1,medium,0.8191,medium
data_exfil,0.3546,0.4101,16,0,low,0.7952,low
data_exfil,0.2579,0.365,10,0,medium,0.9589,medium
brute_force,0.2741,0.2017,0,0,low,0.6824,low
brute_force,0.4971,0.1997,13,0,high,0.6522,high
suspicious_login,0.2709,0.54,0,1,low,0.7556,low
data_exfil,0.4748,0.469,3,0,medium,0.4269,high
other,0.3099,0.348,2,0,high,0.6065,high
suspicious_login,0.3221,0.5189,0,1,low,0.5544,low
malware,0.0408,0.1058,4,1,medium,0.9382,medium
other,0.2528,0.0361,2,0,low,0.5616,low
brute_force,0.1564,0.4473,7,0,medium,0.7563,medium
data_exfil,0.5346,0.4437,3,0,low,0.2705,medium
data_exfil,0.411,0.5597,2,0,medium,0.2892,high
data_exfil,0.2957,0.1155,0,0,low,0.7463,low
data_exfil,0.5828,0.4905,3,0,medium,0.6489,medium
malware,0.1828,0.279,14,0,low,0.8662,low
suspicious_login,0.4461,0.3607,1,0,medium,0.8304,medium
other,0.1505,0.3734,2,1,low,0.7126,low
data_exfil,0.3422,0.1774,9,0,medium,0.6843,medium
other,0.0385,0.1579,4,0,high,0.5891,high
other,0.3202,0.4983,5,0,low,0.2735,low
other,0.2666,0.0114,2,0,medium,0.4018,medium
data_exfil,0.0703,0.0,3,0,low,0.7412,low
brute_force,0.4201,0.7711,3,0,medium,0.4263,medium
malware,0.334,0.3314,2,0,high,0.5055,high
malware,0.2069,0.3681,8,0,medium,0.7269,high
other,0.0,0.0843,10,0,high,0.8194,medium
brute_force,0.4233,0.3632,7,0,low,0.4879,medium
other,0.2259,0.0,0,0,high,0.2799,high
brute_force,0.6057,0.7621,3,1,low,0.3325,medium
brute_force,0.3049,0.4758,2,0,medium,0.3419,low
data_exfil,0.3492,0.1086,3,0,low,0.5863,low
suspicious_login,0.4564,0.3187,2,0,medium,0.7568,medium
brute_force,0.208,0.0,2,1,low,0.6715,low
suspicious_login,0.0,0.2857,4,0,low,0.7834,low
malware,0.0359,0.1164,2,0,low,0.5592,low
suspicious_login,0.2483,0.1741,2,0,low,0.3057,low
data_exfil,0.2044,0.07,1,0,medium,0.5712,medium
suspicious_login,0.3082,0.4484,1,0,low,0.3348,low
other,0.2828,0.0799,8,1,low,0.3106,medium
other,0.4581,0.1267,2,0,medium,0.3561,medium
malware,0.1893,0.1694,7,0,medium,0.3673,medium
other,0.2383,0.0727,12,0,high,0.4975,medium
brute_force,0.0369,0.1276,3,0,low,0.9006,low
malware,0.6768,0.762,3,1,high,0.7492,high
suspicious_login,0.4259,0.4082,1,0,medium,0.4776,medium
